x
Vcam1
Lef1
Tlr2
Lmna
Gclm
Them4
Lmo4
Mllt3
Ermap
Ephb2
Pdzk1ip1
Tal1
Rhd
Sh3bgrl3
Padi2
Pcdh7
Nsun7
Tgfbr3
Plac8
Ppbp
Pf4
Naaa
Ccr9
Fscn1
Sdsl
Tfr2
Asns
Nt5c3
Foxp1
Chl1
Gdf3
Lrrc23
Emp1
Tjp1
Tyrobp
Fbxo17
Ddias
Nucb2
Cyp2r1
Kif22
Myo7a
Cox6a2
Itgal
Ldhc
Tacc2
Fgf3
Cttn
3830403N18Rik
Slc9a9
Gata1
Ophn1
Bgn
Gas6
Rab20
Ank1
Mylk3
Mt1
Adgrg1
Tpm4
Crispld2
Ces2g
Ldhd
2310022B05Rik
Sesn3
Nxpe2
Aqp9
Nedd4
Rora
Fam46a
Nrg4
Arpp21
Vipr1
Ryk
Bfsp2
Fam189b
Oas2
Gng11
Rag2
Rbm11
Lss
Slc35d2
Slc22a15
Tie1
Mamdc2
AA467197
Rbfox2
Ndn
Myo5c
Map9
Gria2
Bzrap1
Itga2b
Tespa1
Tbxa2r
Parm1
Igsf6
Mtmr9
Slc24a5
Pcyt1b
Raver2
Myo1d
Slc25a21
Reep6
Capn5
Bbs10
Cox8a
Cd276
Lzts1
Slc18a1
Csgalnact1
P2ry14
Card11
Sh3tc1
H2-Aa
Tubb4b
Mcoln3
Stox1
Prkcdbp
Zcwpw1
Mfsd2b
Slc30a1
Ptger2
Tgm2
Inpp4b
Tigar
Socs1
Scarf1
Prkab2
F11r
Satb2
Sbf2
Tfdp1
C1rl
Siglecf
Adgrl4
1110008P14Rik
Tmem246
Cc2d2a
Kmo
Arhgap29
Lrp1
Sema3d
Ctsg
Spns2
Sgms1
Blvrb
Ranbp17
Col16a1
St8sia4
Creg1
Cep126
Cd53
Atp1a3
Brca2
Elovl6
Pklr
Atp1b2
Irf8
Plekha6
Igsf3
Abcb4
Rgs8
Bex2
Tmem108
Flt3
Pyhin1
Als2cl
Otos
Nhlrc1
Slc16a13
Tlr7
Fads6
Sh2d5
St7l
Gapt
Ar
Bdh1
Mpeg1
Ltb4r1
Nqo2
Fam221a
Samd14
Bex4
Gp5
Nrip1
Zfpm1
Tifab
Tmsb4x
Tmem220
D8Ertd82e
Il31ra
Armcx6
Slc35d3
Gja1
Tacstd2
Ccdc157
Map3k19
Fam229b
Cox6b2
Gypa
Sox6
Btla
Hbb-b1
Actn2
Acot4
Dlg2
Nrk
Prkg1
Clec12a
Socs3
Dand5
Aldh1a1
Tcf4
Fpgt
Cnn3
Iigp1
Klf1
Slfn5
Atpif1
Gimap4
Thnsl2
Ugt1a6a
Ankrd24
Phactr1
Fsd1l
Tmem158
Pdlim1
Foxd2
Wdr86
Cd47
Dach1
Nod2
St3gal5
Snx32
Nfil3
Rfx8
BC051142
Bcl2
Zfp759
Palld
Pirb
Fcgr3
Hspa2
Fcrl1
Atp8b4
Adgrg3
H2-Eb1
Maml3
Rag1
Sphk1
Armc9
Cd300lb
Slc39a4
3300002I08Rik
Unc5d
Rab44
4430402I18Rik
Ifitm7
Dhrs3
Serpina3f
Zbtb16
Zfp763
S1pr3
Cst7
Dusp22
Wfdc17
Slfn9
Nlrp1a
9930111J21Rik1
Hba-a2
Hba-a1
Mn1
Skint3
Rasgrp3
Fndc1
Klf12
Vamp5
H2-Ab1
Hbb-b1
Rec114
Ovgp1
I830077J02Rik
Kcng1
Kif5a
Bex6
Hoxb2
F630028O10Rik
Naip6
Zan
Klrb1b
Gbp4
Tmsb10
Ulbp1
Btc
C230035I16Rik
4921531C22Rik
4933431E20Rik
1500009L16Rik
Phtf1os
Ugt1a7c
BC035044
Pabpc4l
F830016B08Rik
Muc3a
1700086O06Rik
1700003C15Rik
2810454H06Rik
Kcnq1ot1
